Raman_Shift_cm-1,AFG_Expt05_SM_Avg
958.5643,-1.293991725
959.5286,-1.03265365
960.4928,-0.55366525
961.457,-0.0147697
962.4213,0.6751602
963.3855,0.8952888
964.3497,-0.133484643
965.314,-0.92302151
966.2782,-0.7824973
967.2424,0.091985218
968.2067,1.18027115
969.1709,2.166082
970.1351,3.14851855
971.0994,4.41275575
972.0636,5.88487
973.0278,7.6300035
973.9921,9.82285725
974.9563,11.69872575
975.9205,12.18579
976.8848,11.07016025
977.849,9.2554485
978.8132,5.40641725
979.7775,2.490686725
980.7417,1.67837775
981.7059,2.07405625
982.6702,2.5424563
983.6344,2.7002242
984.5986,2.55836281
985.5629,1.90698995
986.5271,1.19600085
987.4913,0.941796625
988.4556,1.113135
989.4198,1.310373
990.384,1.162287175
991.3483,0.7105607
992.3125,0.585303283
993.2767,1.1058602
994.241,1.66231845
995.2052,2.12624975
996.1694,2.58267365
997.1337,3.064526375
998.0979,3.61069575
999.0621,4.413272
1000.026,5.03537825
1000.991,6.90472225
1001.955,10.04204625
1002.919,15.01772
1003.883,23.38751
1004.848,35.61381
1005.812,49.896455
1006.776,63.1583875
1007.74,75.73842
1008.704,80.5920875
1009.669,75.5829275
1010.633,65.961925
1011.597,52.479735
1012.561,36.5369
1013.526,23.70343
1014.49,15.431921
1015.454,9.9857215
1016.418,7.23746
1017.383,5.79568425
1018.347,4.6249588
1019.311,3.50487825
1020.275,2.86938175
1021.24,3.19569405
1022.204,4.13704075
1023.168,4.1247535
1024.132,3.191865
1025.096,2.22677975
1026.061,1.5426453
1027.025,1.038793915
1027.989,0.564697148
1028.953,0.181008125
1029.918,-0.1261894
1030.882,-0.66386335
1031.846,-1.108562425
1032.81,-1.115180275
1033.775,-0.931296625
1034.739,-1.062045175
1035.703,-1.706582525
1036.667,-2.308742
1037.631,-1.99991625
1038.596,-1.071939875
1039.56,-0.20707175
1040.524,0.5924155
1041.488,1.03620905
1042.453,0.68425753
1043.417,-0.3789681
1044.381,-0.896701125
1045.345,-0.267955105
1046.31,-0.018787
1047.274,-0.90923095
1048.238,-1.823270575
1049.202,-1.723123275
1050.167,-0.679598275
1051.131,0.35138975
1052.095,0.7056665
1053.059,0.699761975
1054.023,0.898397675
1054.988,1.110102875
1055.952,0.847046728
1056.916,-0.07456665
1057.88,-1.110352875
1058.845,-1.367238025
1059.809,-0.651780875
1060.773,-0.045371175
1061.737,0.299038033
1062.702,0.622687575
1063.666,1.15431535
1064.63,1.687386325
1065.594,1.92920914
1066.558,1.794810995
1067.523,1.441312525
1068.487,0.835469975
1069.451,0.1321838
1070.415,-0.465589825
1071.38,-0.8680351
1072.344,-0.905147075
1073.308,-0.457512675
1074.272,0.272950125
1075.237,0.665891925
1076.201,0.444449425
1077.165,0.453389
1078.129,0.99244625
1079.094,1.38209015
1080.058,1.043214375
1081.022,0.277517775
1081.986,-0.091324025
1082.95,0.342564325
1083.915,1.02372575
1084.879,1.51229255
1085.843,1.8175957
1086.807,1.989665986
1087.772,2.0054122
1088.736,1.635563
1089.7,0.626919563
1090.664,-0.788503275
1091.629,-1.1838014
1092.593,0.522387725
1093.557,1.425572725
1094.521,1.1222938
1095.485,0.499967175
1096.45,0.061700325
1097.414,-0.1556633
1098.378,-0.2388197
1099.342,-0.220909775
1100.307,-0.116666375
