Raman_Shift_cm-1,Norway_2-2_Avg
1088.748,-1.029841
1089.712,1.244181
1090.676,2.550357333
1091.64,2.661212667
1092.605,1.026406
1093.569,-1.391887
1094.533,-2.513647333
1095.497,-1.678229
1096.462,-0.386718667
1097.426,-1.074755667
1098.39,-4.256737333
1099.354,-5.692846
1100.318,-3.490917
1101.283,-1.561809667
1102.247,-1.087727
1103.211,-1.438255533
1104.175,-1.907363333
1105.14,-2.341462667
1106.104,-2.581395333
1107.068,-1.960626873
1108.032,-1.491292667
1108.997,-2.7624755
1109.961,-5.088021
1110.925,-6.908714
1111.889,-7.592877333
1112.854,-7.657071
1113.818,-7.7900555
1114.782,-7.643456897
1115.746,-7.62218423
1116.71,-7.961970667
1117.675,-8.540511333
1118.639,-10.32822167
1119.603,-12.22700133
1120.567,-11.96143333
1121.532,-8.943392167
1122.496,-6.428221667
1123.46,-7.324959667
1124.424,-9.332927333
1125.389,-10.12862033
1126.353,-9.942470333
1127.317,-9.58229
1128.281,-9.491145667
1129.245,-9.688427333
1130.21,-10.216325
1131.174,-11.43923323
1132.138,-11.24439033
1133.102,-7.552735
1134.067,-4.993694
1135.031,-5.57107
1135.995,-7.575856
1136.959,-8.542316333
1137.924,-8.0602688
1138.888,-8.261614633
1139.852,-11.67008533
1140.816,-14.756217
1141.781,-13.33887667
1142.745,-9.362574333
1143.709,-6.631916333
1144.673,-6.607974667
1145.637,-7.767627
1146.602,-7.878191667
1147.566,-7.153896667
1148.53,-7.784952333
1149.494,-9.591893333
1150.459,-11.260181
1151.423,-13.528222
1152.387,-14.891967
1153.351,-13.16343633
1154.316,-8.808274967
1155.28,-5.834855333
1156.244,-6.303701333
1157.208,-8.059131
1158.172,-10.01034167
1159.137,-11.8875806
1160.101,-12.83314633
1161.065,-12.70834933
1162.029,-12.34367833
1162.994,-12.61423233
1163.958,-13.18099833
1164.922,-12.83799567
1165.886,-11.28918567
1166.851,-9.915282
1167.815,-8.519255333
1168.779,-7.815609
1169.743,-8.819303
1170.708,-10.791195
1171.672,-10.98042233
1172.636,-7.479549
1173.6,-4.072015
1174.564,-6.22951
1175.529,-10.68002167
1176.493,-13.32765233
1177.457,-13.561264
1178.421,-12.774188
1179.386,-11.85789433
1180.35,-10.53769367
1181.314,-9.152051667
1182.278,-8.817106
1183.243,-8.280509333
1184.207,-6.161660567
1185.171,-5.041968733
1186.135,-6.553717733
1187.099,-9.379239667
1188.064,-11.29318933
1189.028,-11.82583767
1189.992,-12.356007
1190.956,-14.121412
1191.921,-15.93252
1192.885,-16.01176667
1193.849,-14.82025567
1194.813,-14.50542767
1195.778,-16.25343667
1196.742,-18.60592667
1197.706,-18.57461333
1198.67,-15.49018667
1199.635,-13.31339667
1200.599,-12.83866533
1201.563,-12.59169867
1202.527,-11.72695233
1203.491,-10.980047
1204.456,-11.193296
1205.42,-12.38837767
1206.384,-14.165069
1207.348,-16.67092433
1208.313,-18.73253
1209.277,-17.58114333
1210.241,-14.49514
1211.205,-12.11106067
1212.17,-10.87328133
1213.134,-10.73484067
1214.098,-12.448412
1215.062,-15.612135
1216.026,-15.90654233
1216.991,-10.58741917
1217.955,-7.899666
1218.919,-12.016528
1219.883,-16.42285
1220.848,-16.78008667
1221.812,-14.47125
1222.776,-12.70109
1223.74,-12.61646433
1224.705,-12.90848133
1225.669,-12.55000833
1226.633,-11.76975733
1227.597,-10.56129493
1228.562,-9.293480867
1229.526,-8.67791236
1230.49,-8.582323667
1231.454,-8.686017667
1232.418,-8.785115667
1233.383,-8.609066
1234.347,-7.857277277
1235.311,-7.440437333
1236.275,-7.790617
1237.24,-8.856778333
1238.204,-9.685003
1239.168,-8.919621667
1240.132,-6.927736
1241.097,-5.788542667
1242.061,-7.129621667
1243.025,-9.592367667
1243.989,-9.309652333
1244.953,-5.300430333
1245.918,-3.500407
1246.882,-5.865722633
1247.846,-8.072958
1248.81,-7.898232333
1249.775,-6.483284
1250.739,-5.3204441
1251.703,-4.210474733
1252.667,-4.189803667
1253.632,-6.850464333
1254.596,-9.265373667
1255.56,-9.790478
1256.524,-9.492449
1257.489,-9.547088
1258.453,-10.25450033
1259.417,-11.26687167
1260.381,-12.14121133
1261.345,-12.55022667
1262.31,-12.11172633
1263.274,-11.19209933
1264.238,-9.850121
1265.202,-6.439745333
1266.167,-4.262646667
1267.131,-6.319222
1268.095,-10.28819233
1269.059,-11.533912
1270.024,-9.041503667
1270.988,-6.237255667
1271.952,-4.6323066
1272.916,-4.361173267
1273.88,-6.7967525
1274.845,-10.61622667
1275.809,-11.98997367
1276.773,-9.484307
1277.737,-5.600447667
1278.702,-3.503361333
1279.666,-3.465518533
1280.63,-4.0715803
1281.594,-4.928483
1282.559,-5.730274667
1283.523,-7.366104667
1284.487,-8.191098667
1285.451,-6.654614
1286.416,-4.106737
1287.38,-2.895418333
1288.344,-3.663891667
1289.308,-5.037955
1290.272,-6.010432267
1291.237,-6.562149
1292.201,-5.859156867
1293.165,-3.824854667
1294.129,-1.947208333
1295.094,-0.581567333
1296.058,0.207348567
1297.022,0.2917482
1297.986,-0.331502333
1298.951,-1.519369
1299.915,-3.408415
1300.879,-4.982236333
1301.843,-6.672892367
1302.807,-7.677360333
1303.772,-6.875854333
